,Unnamed: 0,ISBN,Book-Rating,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,Content
10,11,0064400557,3.672727272727273,Charlotte's Web (Trophy Newbery),E. B. White,1974,HarperTrophy,http://images.amazon.com/images/P/0064400557.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0064400557.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0064400557.01.LZZZZZZZ.jpg,"
Don’t miss one of America’s top 100 most-loved novels, selected by PBS’s The Great American Read.
This beloved book by E. B. White, author of Stuart Little and The Trumpet of the Swan, is a classic of children's literature that is ""just about perfect."" Illustrations in this ebook appear in vibrant full color on a full-color device and in rich black-and-white on all other devices.
Some Pig. Humble. Radiant. These are the words in Charlotte's Web, high up in Zuckerman's barn. Charlotte's spiderweb tells of her feelings for a little pig named Wilbur, who simply wants a friend. They also express the love of a girl named Fern, who saved Wilbur's life when he was born the runt of his litter.
E. B. White's Newbery Honor Book is a tender novel of friendship, love, life, and death that will continue to be enjoyed by generations to come. It contains illustrations by Garth Williams, the acclaimed illustrator of E. B. White's Stuart Little and Laura Ingalls Wilder's Little House series, among many other books.
Whether enjoyed in the classroom or for homeschooling or independent reading, Charlotte's Web is a proven favorite.
Charlotte's Web is a book of children's literature by American author E. B. White and illustrated by Garth Williams; it was published on October 15, 1952, by Harper & Brothers. The novel tells the story of a livestock pig named Wilbur and his friendship with a barn spider named Charlotte.
"
11,12,0446532231,3.6545454545454543,"Dude, Where's My Country?",Michael Moore,2003,Warner Books,http://images.amazon.com/images/P/0446532231.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446532231.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446532231.01.LZZZZZZZ.jpg,"
He's the man everyone's talking about. He's taken on gun freaks, stupid white men and corporate crooks. Now Michael Moore is on a new mission: to get us of our behinds and kicking out the corrupt political elites who rule our lives.
Dude, Where's My Country? is a 2003 book by Michael Moore dealing with corporate and political events in the United States. The title is a satirical reworking of the 2000 film Dude, Where's My Car?. The book covers many topics and is written in a heavily satirical fashion, in common with much of Moore's work.
"
12,13,0345445848,3.588235294117647,Big Cherry Holler: A Big Stone Gap Novel (Ballantine Reader's Circle),Adriana Trigiani,2002,Ballantine Books,http://images.amazon.com/images/P/0345445848.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345445848.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345445848.01.LZZZZZZZ.jpg,"It's 1978, and Ave Maria Mulligan is the thirty-five-year-old self-proclaimed spinster of Big Stone Gap, a sleepy hamlet in the Blue Ridge Mountains of Virginia. She's also the local pharmacist, the co-captain of the Rescue Squad, and the director of The
"
13,14,0440215625,3.568965517241379,Dragonfly in Amber,DIANA GABALDON,1993,Dell,http://images.amazon.com/images/P/0440215625.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440215625.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440215625.01.LZZZZZZZ.jpg,"
NOW THE STARZ ORIGINAL SERIES OUTLANDER

With her classic novel Outlander, Diana Gabaldon introduced two unforgettable characters--Claire Randall and Jamie Fraser--delighting readers with a story of adventure and love that spanned two centuries. Now Gabaldon returns to that extraordinary time and place in this vivid, powerful sequel to Outlander.
DRAGONFLY IN AMBER

For twenty years, Claire Randall has kept her secrets. But now she is returning with her grown daughter to the mysteries of Scotland's mist-shrouded Highlands.
Here Claire plans to reveal a truth as shocking as the events that gave it birth: the secret of an ancient circle of standing stones, the secret of a love that transcends centuries, and the truth of a man named Jamie Fraser--a Highland warrior whose gallantry once drew the young Claire from the security of her century to the dangers of his.
Claire's spellbinding journey continues through the intrigue-ridden French court and the menace of Jacobite plots, to the Highlands of Scotland, through war and death in a desperate fight to save both the child and the man she loves.
Praise for Dragonfly in Amber
""Diana Gabaldon is a born storyteller. . . . The pages practically turn themselves.""--The Arizona Republic
""A triumph A powerful tale layered in history and myth. I loved every page.""--Nora Roberts
""Compulsively readable.""--Publishers Weekly
Dragonfly in Amber is the second book in the Outlander series of novels by Diana Gabaldon. Centered on time travelling 20th century nurse Claire Randall and her 18th century Scottish Highlander warrior husband Jamie Fraser, the books contain elements of historical fiction, romance, adventure and fantasy.
"
14,16,0312990456,3.5555555555555554,One for the Money (A Stephanie Plum Novel),Janet Evanovich,2003,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312990456.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312990456.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312990456.01.LZZZZZZZ.jpg,"
Stephanie Plum is down on her luck. She's lost her job at New Jersey's most down-market lingerie store, her car's on the brink of repossession, and her apartment is fast becoming furniture-free. Enter Cousin Vinnie, a low-life who runs a bail-bond company. If Stephanie can bring in vice cop turned outlaw Joe Morelli, she stands to pick up $10,000. But tracking down a cop wanted for murder isn't easy. And suddenly Stephanie has another problem on her hands. Benito Ramirez, a prize-fighter with more menace than mentality, wants her to be his friend - and he won't take no for an answer. Soon Stephanie begins to know exactly what it feels like to be pursued - and the best person to protect her just happens to be on the run...
'One of the funniest and most enjoyable books I have read for a long time.'
Sunday Telegraph
One for the Money is the first novel by Janet Evanovich featuring the bounty hunter Stephanie Plum. It was published in 1994 in the United States and in 1995 in Great Britain.
"
15,17,0440180295,3.54,Slaughterhouse Five or the Children's Crusade: A Duty Dance With Death,Kurt Vonnegut,1991,Laurel,http://images.amazon.com/images/P/0440180295.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440180295.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440180295.01.LZZZZZZZ.jpg,"
Kurt Vonnegut’s masterpiece, Slaughterhouse-Five is “a desperate, painfully honest attempt to confront the monstrous crimes of the twentieth century” (Time).
 
Selected by the Modern Library as one of the 100 best novels of all time
 
Slaughterhouse-Five, an American classic, is one of the world’s great antiwar books. Centering on the infamous World War II firebombing of Dresden, the novel is the result of what Kurt Vonnegut described as a twenty-three-year struggle to write a book about what he had witnessed as an American prisoner of war. It combines historical fiction, science fiction, autobiography, and satire in an account of the life of Billy Pilgrim, a barber’s son turned draftee turned optometrist turned alien abductee. As Vonnegut had, Billy experiences the destruction of Dresden as a POW. Unlike Vonnegut, he experiences time travel, or coming “unstuck in time.”

An instant bestseller, Slaughterhouse-Five made Kurt Vonnegut a cult hero in American literature, a reputation that only strengthened over time, despite his being banned and censored by some libraries and schools for content and language. But it was precisely those elements of Vonnegut’s writing—the political edginess, the genre-bending inventiveness, the frank violence, the transgressive wit—that have inspired generations of readers not just to look differently at the world around them but to find the confidence to say something about it. Authors as wide-ranging as Norman Mailer, John Irving, Michael Crichton, Tim O’Brien, Margaret Atwood, Elizabeth Strout, David Sedaris, Jennifer Egan, and J. K. Rowling have all found inspiration in Vonnegut’s words. Jonathan Safran Foer has described Vonnegut as “the kind of writer who made people—young people especially—want to write.” George Saunders has declared Vonnegut to be “the great, urgent, passionate American writer of our century, who offers us . . . a model of the kind of compassionate thinking that might yet save us from ourselves.”

More than fifty years after its initial publication at the height of the Vietnam War, Vonnegut’s portrayal of political disillusionment, PTSD, and postwar anxiety feels as relevant, darkly humorous, and profoundly affecting as ever, an enduring beacon through our own era’s uncertainties.
Slaughterhouse-Five, or, The Children's Crusade: A Duty-Dance with Death is a 1969 semi-autobiographic science fiction-infused anti-war novel by Kurt Vonnegut.
"
16,18,0312980140,3.4831460674157304,Seven Up (A Stephanie Plum Novel),Janet Evanovich,2002,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312980140.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312980140.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312980140.01.LZZZZZZZ.jpg,"
The smash-hit #1 bestselling author Janet Evanovich takes you on the ride of your life in the next Stephanie Plum adventure, Seven Up!

Semiretired mob guy Eddie DeCooch is caught trafficking contraband cigarettes through Trenton, New Jersey. When DeCooch fails to show for a court appearance, bond enforcement agent Stephanie Plum is assigned the task of finding him and dragging his decrepit ass back to jail. Not such an easy job, it turns out, since DeCooch has learned a lot of tricks over the years and isn't afraid to use his gun. He's already shot Loretta Ricci, an innocent old lady, and left her for worm food in his shed. He wouldn't mind shooting Stephanie next.

Likeable losers (and Steph's former high school classmates) Walter ""MoonMan"" Dunphy and Dougie ""The Dealer"" Kruper have inadvertently become involved with DeCooch. They've gotten sucked into an operation that is much more than simple cigarette smuggling and holds risks far greater than anyone could have imagined.

When Dougie disappears, Steph goes into search mode. When Mooner disappears, she calls in the heavy artillery and asks master bounty hunter Ranger for help. Ranger's price for the job? One night with Stephanie, dusk to dawn. Not information she wants to share with her sometime live-in roommate, vice cop Joe Morelli,

A typical dilemma in the world of Plum.

And on the homefront, Stephanie's ""perfect"" sister, Valerie, has decided to move back to Trenton, bringing her two kids from hell with her. Grandma Mazur is asking questions about being a lesbian, and Bob, the bulimic dog, is eating everything in sight--including the furniture.

Mud wrestling, motorcycles, fast cars, fast food, and fast men. It's Janet Evanovich's Seven Up.
Seven Up is the seventh novel by Janet Evanovich in her series featuring bounty hunter Stephanie Plum. It was published in 2001.
"
17,19,0786868716,3.4827586206896552,The Five People You Meet in Heaven,Mitch Albom,2003,Hyperion,http://images.amazon.com/images/P/0786868716.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0786868716.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0786868716.01.LZZZZZZZ.jpg,"
A STUNNING 20TH ANNIVERSARY EDITION OF THE MASTER STORYTELLER'S INSPIRATIONAL CLASSIC

Eddie no longer notices years passing. He spends his eighty-third birthday fixing the rides at the amusement park where he has worked for most of his life.

But when a cart falls from the fairground, Eddie spots a little girl in terrible danger. He rushes to save her and tragically loses his own life in the attempt.

When Eddie wakes, he discovers that death is an opportunity to learn about life, and he will have five teachers. Some he knows, while others are strangers. One by one, these individuals visit Eddie, illuminating the mysteries of his 'meaningless' existence and revealing the secret behind the eternal question: 'Why was I here?'
__________

WHAT READERS SAY ABOUT THE FIVE PEOPLE YOU MEET IN HEAVEN

'Breathtakingly beautiful. A story that will stay with you forever'

'A beautiful and flawlessly choreographed book . . . No other book may ever compare'

'One of my favourite books . . . Wonderful, inspirational, and heart-warming! To me, it is a MUST READ!

'The book is beyond words . . . Well written, engaging, poignant'

'This really is a wonderful book. You should read it'
The Five People You Meet In Heaven is a 2003 novel by Mitch Albom. It follows the life and death of a ride mechanic named Eddie who is killed in an amusement park accident and sent to heaven, where he encounters five people who had a significant impact on him while he was alive.
"
18,20,0380813815,3.4776119402985075,"Lamb : The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,2003,Perennial,http://images.amazon.com/images/P/0380813815.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380813815.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380813815.01.LZZZZZZZ.jpg,"
Hundreds of thousands of people around the world have read—and reread—Christopher Moore's irreverent, iconoclastic, and divinely funny tale of the early life of Jesus Christ as witnessed by his boyhood pal Levi bar Alphaeus (a.k.a. Biff). Now, in this special (check out the cool red ribbon marker, gilt-edged pages, and gold lettering) gift edition of Christopher Moore's bestselling Lamb, you, too, can find out what really happened between the manger and the Sermon on the Mount. And, in a new afterword written expressly for this edition, Christopher Moore addresses some of the most frequently asked questions he's received from readers since Lamb's initial publication, about the book and himself.
Fresh, funny, poignant, and wise, this special gift edition of Lamb is cause for rejoicing among readers everywhere.
Lamb: The Gospel According to Biff, Christ's Childhood Pal is a novel by American writer Christopher Moore, published in 2002. In this work the author seeks to fill in the ""lost"" years of Jesus through the eyes of Jesus' childhood pal, ""Levi bar Alphaeus who is called Biff"".
"
19,21,1400031354,3.4761904761904763,Tears of the Giraffe (No.1 Ladies Detective Agency),Alexander McCall Smith,2002,Anchor,http://images.amazon.com/images/P/1400031354.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1400031354.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1400031354.01.LZZZZZZZ.jpg,"
The second book in the multi-million copy bestselling No.1 Ladies' Detective Agency series

The one where Precious gains a new family

Mma Ramotswe of the No. 1 Ladies' Detective Agency is hoping to set up home with Mr J.L.B. Maketoni. But first she must deal with his scheming, misbehaving maid. She also has to confront the most difficult case of her career so far: that of an American who went missing ten years ago, and about whom all leads have long since dried up. Then there are not one, but two sudden additions to Mma's family . . .

'One of the most memorable heroines in any modern fiction' Newsweek

'Soothing, full of hope' Sunday Telegraph

'Delightful' Evening Standard

'Enthralling... Mma Ramotswe is someone readers can't help but love' USA Today
Tears of the Giraffe is the second in The No. 1 Ladies' Detective Agency series of novels by Alexander McCall Smith, set in Botswana, which features the Motswana protagonist Precious Ramotswe.
"
20,22,0345339681,3.4698795180722892,The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN,1986,Del Rey,http://images.amazon.com/images/P/0345339681.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345339681.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345339681.01.LZZZZZZZ.jpg,"This edition of J.R.R. Tolkien's classic is illustrated with 48 paintings by noted artist Michael Hague.
Bilbo Baggins is a hobbit who enjoys a comfortable, unambitious life, rarely traveling any farther than his pantry or cellar. But his contentment is disturbed when the wizard Gandalf and a company of dwarves arrive on his doorstep one day to whisk him away on an adventure. They have launched a plot to raid the treasure hoard guarded by Smaug the Magnificent, a large and very dangerous dragon. Bilbo reluctantly joins their quest, unaware that on his journey to the Lonely Mountain he will encounter both a magic ring and a frightening creature known as Gollum.
Written for J.R.R. Tolkien's own children, The Hobbit has sold many millions of copies worldwide and established itself as a modern classic.
"
21,23,0312265867,3.4285714285714284,To the Nines: A Stephanie Plum Novel,Janet Evanovich,2003,St. Martin's Press,http://images.amazon.com/images/P/0312265867.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312265867.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312265867.01.LZZZZZZZ.jpg,"
The #1 New York Times Bestselling Author
A Stephanie Plum Novel

Janet Evanovich's novels are the hottest bestsellers in America!
# 1 New York Times
# 1 Wall Street Journal
#1 Los Angeles Times
#1 Entertainment Weekly
#1 Publishers Weekly

Stephanie Plum's got rent to pay, people shooting at her, and psychos wanting her dead every day of the week (much to the dismay of her mother, her family, the men in her life, the guy who slices meat at the deli . . . oh, the list goes on). An ordinary person would cave under the pressure.

But hey, she's from Jersey.

Stephanie Plum may not be the best bounty hunter in beautiful downtown Trenton, but she's pretty darn good at turning bad situations her way . . . and she always gets her man. In To the Nines, her cousin Vinnie (who's also her boss) has posted bail on Samuel Singh, an illegal immigrant. When the elusive Mr. Singh goes missing, Stephanie is on the case. But what she uncovers is far more sinister than anyone imagines and leads to a group of killers who give new meaning to the word hunter.

In a race against time that takes her from the Jersey Turnpike to the Vegas Strip, Stephanie Plum is on the chase of her life. The unforgettable characters, nonstop action, high-stakes suspense, and sheer entertainment of To the Nines define Janet Evanovich as unique among today's writers.
To the Nines is the ninth novel by Janet Evanovich featuring the bounty hunter Stephanie Plum. Written in 2003, it's the second book in a row that doesn't revolve around a criminal bond, and the first to take Stephanie out of New Jersey and into the neon glitz of Las Vegas.
"
22,24,0385505833,3.412698412698413,Skipping Christmas,JOHN GRISHAM,2001,Doubleday,http://images.amazon.com/images/P/0385505833.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385505833.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385505833.01.LZZZZZZZ.jpg,"
Imagine a year without Christmas.

No crowded shops, no corny office parties, no fruitcakes, no unwanted presents. That's just what Luther and Nora Krank have in mind when they decide that, just this once, they'll skip the holiday altogether.

Theirs will be the only house on the street without a rooftop Frosty the snowman; they won't be hosting their annual Christmas Eve bash; they aren't even going to have a tree. They won't need one, because come December 25 they're setting sail on a Caribbean cruise. But, as this weary couple is about to discover, skipping Christmas brings enormous consequences - and isn't half as easy as they'd imagined.

The novel behind the movie CHRISTMAS WITH THE KRANKS
Skipping Christmas is a comedic novel by John Grisham. It was published by Doubleday on November 6, 2001 and reached #1 on The New York Times Best-Seller List on December 9 that year.
"
