,ISBN,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
22,0064407667,0064407675,1558744150,0060987103,0553275976,044022103X,0064472272,0142001805,0316769487,0743237188,0375707972,0316569321,0671510053,043935806X,0375702709,0312305060,0786881852,0060987529,0446608955,0439064864,1573229326
23,0064407675,0064407667,0679735909,1573229326,1558744150,0385503822,0060938455,0060987103,0446363251,0446608955,0142001805,0385508042,044022103X,0449005615,0671042262,0440200563,0670892963,038542017X,0373218192,0679745203,0345422317
24,0064472272,0060987103,0060987529,0446608815,0064407667,0671693816,0515130966,0743225406,0375706771,0380002930,0375707972,0440215625,0312195516,014028009X,0440203856,0679751521,0446532231,0385505833,0316781266,0671525743,0385508042
25,0070212570,0312195516,0871136791,068484477X,0375703055,0375726403,0312305060,0743225406,0440498058,0140244824,014023313X,044022103X,0842329129,0425162443,0553279556,1559029838,0060987529,0385720106,0452282152,0440200563,0375707972
26,0140067477,0743436210,0439136350,0060391626,0553289411,0440219078,0439064864,0446602620,0439139597,0446363251,043935806X,0440998050,0399501487,0804105820,0316168688,0971880107,034538475X,080410753X,0446608890,067976402X,0345386108
27,0140092323,0345413350,0451156609,0440211263,0440221595,074343627X,0449003787,0345348036,067102423X,0553582755,0385479565,002542730X,0385492081,0553279912,0553579754,0425174271,0385420161,0446516538,0425182878,0345370775,0425175405
28,0140119906,0679429220,0385721420,0060921145,0684874350,0553250426,0812550706,0380813815,0060930535,0440414806,0385722206,0375726403,0142001805,0060928336,0380789035,0375700757,0060915544,0345361792,0312195516,0446612790,0316666343
29,014023313X,0743225406,0679744398,0345438329,067088300X,0441003257,0553275976,0385479565,0070212570,0671510053,0345370775,0553268880,0316780375,042511774X,044023722X,0440998050,0345404114,0449907481,0743418204,014028009X,0385474016
30,0140244824,0380730138,0345443284,0671038184,0375707972,0316899984,067976402X,0375703055,0070212570,0385720106,0345439104,0316569321,0440226104,0452282829,0671708635,0060976845,0060958022,0425162443,0316666343,0375706771,0451202341
31,014025448X,0688177751,155874262X,0440122090,0345445848,0671014196,1558744150,068484477X,0446360589,0441003257,0553292722,0446607711,0439064864,0440176484,0345422317,0385720106,0385503822,055356160X,1573225789,0380717018,0743418204
32,014028009X,0446608955,0060959037,067976402X,0767900383,0446532231,014029628X,0060987103,0671510053,0515122734,0553581554,0440226430,1573229326,0312195516,014023313X,0064472272,059035342X,0345443284,0515133973,0140298479,0671525743
33,0140293248,0609804138,0312278586,0375706771,0446670251,015100692X,0385720106,038079487X,0743418174,0375703055,0375502238,0060987529,0425167313,080410753X,0440235596,0345445848,0375726403,0345438329,0385265700,0679751521,0375705856
34,014029628X,0060928336,0385722206,0385335881,0452282152,038572179X,0804114986,140003065X,038550926X,0345447840,0060959037,0316284955,0312195516,014028009X,0316776963,0446607711,0743227441,0385720106,080410753X,0786868716,0140293248
35,0140298479,080411109X,0679746048,0141000198,0385335881,0440203856,0142001430,067088300X,0515133973,0743418174,0767905180,0380710722,0385336179,0451202341,014028009X,0451203895,055321313X,0060502258,0312291639,0060977493,051511992X
36,014100018X,0385508042,0425163407,0553578693,0671014919,0446670251,0375727345,0425158616,0842329218,0804105820,042513525X,0446612790,0312305060,080410526X,0743436210,0380717018,0446608890,0312278586,0671042572,0449223604,0375502238
37,0141000198,0440203856,0140298479,0385484518,0425124347,0312990456,0451203895,0440234743,0140293248,0373483694,0060392452,0316780375,0345361792,0439064872,0767900383,067088300X,0515133973,0671001795,0373484224,044651652X,0743418174
38,0142000205,0375727345,0452282829,0316168688,0316569321,0345439104,044651862X,0060391626,0671525743,080411109X,0312291639,0446364193,038542017X,0440241073,038079487X,0446672211,0451184963,0451197747,0375502238,051512608X,0446610399
39,0142001430,0375725784,0375726403,0060977493,0679772677,034541389X,0140298479,0345439104,0345350499,0375706771,0609804138,0316601950,0385486804,0060934417,0316899984,014023313X,0452282829,0375727345,0345404114,067088300X,0440122090
40,0142001740,0060987103,0375727345,0060959037,0345439104,0375700757,014029628X,0425162443,0385720106,0312195516,044023722X,0070212570,0385721420,0060928336,0743418174,0385722206,1400031354,0671001795,0316666343,0786868716,044651862X
41,0142001805,0060987529,0553275976,0064407675,0064407667,0156027321,0679735909,0375700757,0380789035,0316776963,0440414806,0140119906,0671042262,0312282990,0345361792,0439139597,0440206154,0446606189,0345413903,1400034779,0446612790
42,015100692X,0449005615,0679772677,0140293248,0446670251,0440414806,0375705856,0385721420,0871136791,0375725784,1400034779,0312983271,0060392452,0553272535,0449907481,0679751521,0061009059,0316601950,0451524934,0609804138,067088300X
43,0156027321,0385722206,0312974256,0142001805,0316666343,038542017X,0452282152,0743237188,0425169863,0452264464,0375700757,0812550706,0446602620,0375726403,0380789035,0380813815,0440122090,0385265700,0060977493,0425155404,0380002930
44,0312195516,0452282152,0375707972,0804114986,0375726403,0070212570,0684874350,0451197747,0449212602,0553250426,0743237188,0060928336,068484477X,0786868716,0375700757,0312278586,0060934417,0061009059,014029628X,0316769487,0609804138
45,0312265867,0312980140,0312983271,067101420X,0312983867,0312966091,031298328X,0743437640,0312966970,0553578693,0385503822,0312976275,0671001795,0312990456,0553583441,0425163407,0446604666,055357230X,0312971125,0425154092,0385508042
46,0312278586,038550926X,0140293248,0316096199,0385335881,0312195516,0060502258,044022103X,0385335482,0375702709,0767905180,0743418174,0312305060,014100018X,067088300X,0060928336,0446675059,0842329129,0375726403,0316666343,0060934417
47,0312282990,0375502238,0375726403,0375705856,0670892963,0446604666,0449907481,1400031354,0871136791,0553275976,0345427637,0060977493,0553268880,1400034779,0374199698,0446612790,0316776963,0446603589,0446675059,0679745203,0679744398
48,0312291639,0440200563,0446610399,0316569321,0312305060,0451197747,0451202341,0440211263,038079487X,0743237188,0452282829,1573229326,0446605239,0142000205,0446363251,051511992X,0375727345,0743225406,044651862X,0440219078,068484477X
49,0312305060,0316168688,0743225406,1573229326,044022103X,0375502238,0446363251,0316569321,0312291639,0375727345,0451197747,0871136791,055321313X,0440211263,1559029838,0070212570,014100018X,0425167313,0060976845,0440200563,0553569058
50,0312924585,0440206154,0425147622,0425121631,0553279556,0440211727,0425180638,0425163407,0345370775,0553260111,0425182908,0451167317,0425172546,0440214041,042510107X,0449219461,0345391055,0671041789,0345337662,0345413865,0553279912
51,0312966091,0312971346,0312980140,0312966970,0671001795,0312976275,0312983867,0312990456,0440176484,0312265867,0440200563,0553560247,0312983271,0446606189,055357230X,0449003787,0385505833,0446610038,0446612790,0440201926,0440203856
52,0312966806,0312971125,0743437640,0345445848,0312980159,140003065X,0440224764,0804108749,0345348036,0440221471,0671014196,0440241162,0609804138,0684801523,080410526X,0553560247,0804105820,0312980140,044021145X,0060976845,0440211727
53,0312966970,0312971346,0671001795,0312980140,0312966091,0312976275,0312990456,0312983867,0553578693,0515132020,0553280341,042518630X,0312265867,0515136379,0671525743,0312983271,051513628X,0425189031,0449219461,0449219364,0060502258
54,0312971125,0312966806,0312265867,0373483694,0373218192,0446609404,0345422317,0446611867,0553564528,0446607711,0440498058,038550120X,0375760911,0312980140,0439136369,067101420X,0425122123,0385505833,0446360589,0312980159,0553583441
55,0312971346,0312966091,0312966970,0312976275,0312980140,0312983867,0671001795,0312990456,0312983271,0446610542,0449219461,0553279556,0061009059,0440200563,0440176484,0446610038,055357230X,0553280368,0449221512,0446612790,068484477X
56,0312974256,0373483503,0373218036,0515130966,0425189031,0440226104,0671525743,042518630X,0425169863,140003065X,0743225406,0515135062,051513287X,051512608X,0440122090,0553582127,0553569910,0156027321,0515132187,0515136530,0446610399
57,0312976275,0312971346,0312983867,0312980140,0312966091,0312966970,0312990456,0449003787,0671001795,0446603716,055357230X,0446606189,0553574574,0446604801,0312265867,0553578693,0446604666,0446610038,0440234743,0440241073,0553572997
58,0312980140,0312966970,0312966091,0312983867,0312971346,0312976275,0312265867,0671001795,0312990456,0312983271,0061009059,0446610038,0446610542,014100018X,0446612790,0385503822,0312980159,0385505833,0842329129,0316601950,0385508042
59,0312980159,0446610542,0375760911,0312983824,0373218036,0373483694,042518630X,0440241162,0312966806,0373483503,0425178579,0743225406,0553574574,051513287X,0446607711,0312980140,0345422317,0553560247,0425189031,0671525743,0515132020
60,0312983271,031298328X,0312265867,0312980140,0440241162,067101420X,0671001795,0312966091,0312971346,0312966970,0449005615,1400034779,0316601950,015100692X,0446610542,0312990456,0609804138,0345339738,0440414806,0140293248,0345422317
61,031298328X,0312983271,0440241162,067101420X,0312265867,0553583441,0553578693,042518630X,0446610542,0671001795,0515136530,0440235162,0373825013,0449134482,0312971346,0553275976,0312966970,0312983867,0312980159,0061009059,0380813815
62,0312983824,0671537458,0446610542,0553574574,0312980159,051512608X,051511992X,0373218400,0373218036,0440213290,0373218397,0373218192,0440201926,0440176484,0373825013,0440236673,0373483503,0440200563,067976402X,0553571885,0385503822
63,0312983867,0312980140,0312976275,0312971346,0312966091,0312990456,0312966970,0312265867,0671001795,0688177751,0451172817,0446611212,0449223604,0440241073,0440236703,0425180638,0446608815,0743437640,0553578693,0671693816,034541389X
64,0312990456,0671001795,0312966970,0312983867,0312966091,0312971346,0312976275,0312980140,0425121631,0312265867,0449003795,0440176484,0553571885,0671867113,0141000198,0553572997,055357230X,0345339681,0439139600,0312983271,0440241073
65,0316096199,0312278586,0316666343,0609804138,0385265700,0345361792,0440241073,0743225406,0375760911,0375726403,014100018X,0425167313,055356773X,0671042858,0345445848,0446670251,0440226104,0671867172,0446610038,0440221471,1573225789
66,0316168688,0312305060,0385474016,0142000205,0425115801,0316781266,0446608955,0553578693,1573229326,0440200563,044022103X,0375502238,0515136379,0446610399,0446605239,0440998050,0743418204,0375727345,0515136530,0671525743,0425107469
67,0316284955,0440219078,014029628X,067976402X,034541389X,0316666343,0439139600,0439064872,042511774X,0446394521,0375726403,0061009059,0060928336,051513628X,055321313X,0312966970,0679772677,0671525743,0553571885,014028009X,0671886665
68,0316569321,0452282829,0312291639,0142000205,0312305060,0871136791,044022103X,0743225406,0375727345,0743237188,0671021001,0375706771,0385505833,051511992X,0375707972,038079487X,0312195516,0553268880,0451197747,068484477X,0140244824
69,0316601950,0345439104,0316666343,0060976845,0449003795,0440226430,0380730138,0743237188,0375703055,0671003755,0140293248,0385265700,0142001430,0446605239,0312983271,0446672211,0060930535,0316899984,0375727345,0375707972,0312980140
70,0316666343,0446672211,0385265700,0743418174,0316601950,0316096199,0345439104,0375706771,0375726403,0060987529,0316284955,068484477X,0316969443,0156027321,0671003755,0440224675,0060930535,0446608955,0385504209,0688177751,0380730138
71,0316769487,0446310786,0451524934,0684874350,0312195516,0440998050,0375727345,0399501487,0064407667,067088300X,0684801523,0786867647,0743237188,0312278586,0380730138,0452282829,080411109X,038542017X,043935806X,0375702709,0345342968
72,0316776963,0345413350,014029628X,0375760911,0671510053,0312282990,0142001805,0380002930,0452264464,0609804138,0060987529,1400031362,0345384466,0446608890,038079487X,0451177096,0671004530,0385720106,0425155404,0449005615,042513699X
73,0316780375,0449005615,0452264464,0345313860,0609804138,0446670251,0671510053,0553277472,042511774X,0345384466,014023313X,067088300X,0375727345,0446604801,0440180295,0743225406,0786881852,0670892963,0679744398,0375702709,0671693816
74,0316781010,0440235596,0871136791,055356160X,0553579983,0553278029,0440212561,0553292722,0375705856,0380710218,0440215625,0345313860,055356773X,0425162443,0425147622,0440213290,0553582127,0440222656,0553571885,0553561618,067976402X
75,0316781266,0375702709,0060959037,0316168688,0446670251,0375707972,0553578693,0061009059,0553580221,0609804138,0064472272,0345439104,0446675059,0375725784,0671042858,006016848X,0440221595,0446603716,0312966970,0316969443,0345445848
76,0316899984,0375727345,0671038184,0380730138,0452282829,0375702709,0375706771,0140244824,0425162443,0425167313,0345439104,037570504X,0345443284,044651862X,0375703055,0452260116,0452264464,0743237188,067976402X,0060930535,0316601950
77,0316969443,0671693816,0842329218,0316666343,0446606812,0425167313,0553578693,0446603716,0060391626,0385484518,0446608955,0553560247,0446672211,044023722X,0380717018,0425152251,0316781266,0446611867,0671014196,0312305060,055356160X
78,0345313860,034538475X,0345351525,0345337662,0345384466,0316780375,0451160525,0441569595,0449212602,0380002930,0451524934,1558744150,0553277472,067102423X,044021145X,0553579983,0671693816,0312924585,0553582127,0142000205,0553260111
79,0345337662,0345313860,034538475X,0345384466,0345351525,0439136369,0439064864,0312924585,0064407675,0671041789,0451524934,0451153553,006101351X,044021145X,0451177096,0345370775,0345361792,0064407667,0440224675,0060987561,0553268880
80,0345339681,0553274295,0345339738,0312990456,0679745203,0842329129,1400031362,0439139597,0345387651,0316899984,1400034779,0375727345,0452264464,059035342X,0316769487,014025448X,0446310786,0440498058,0439136350,0064400557,0439064864
81,0345339703,0345339738,0671525743,034538475X,0345342968,0553571885,0553277472,0375502238,0375727345,0671568175,051511992X,0515120618,0439139597,0515136379,0743437640,0440236703,0842329242,0385504209,037570504X,0553213148,0671708635
82,0345339738,0345339703,0441569595,0553271636,0345339681,0440998050,0140293248,0804114986,0312983271,0446670251,0446675059,0440235596,0449005615,0380002930,0425169863,0451524934,0440180295,0679751521,015100692X,140003065X,0312974256
83,0345342968,0060502258,068484477X,059035342X,0804106304,0345339703,0446310786,0451524934,0375706771,1558744150,0425107469,0786881852,0842329129,0671886665,0316769487,0743418174,0375700757,0312282990,0345465083,0671617028,0515133973
84,0345348036,0345380371,0446359866,0312966806,1400034779,0345413350,1400031354,0385479565,0609804138,0553268880,0140092323,0064472272,155874262X,0345445848,080411109X,0345370775,0451160525,080410753X,014029628X,0684801523,0449003787
85,0345350499,0452260116,0451166892,0380002930,0142001430,0446363251,0553250531,080411109X,0439064864,0679745203,0345384466,0375706771,044651862X,043935806X,0345387651,0385486804,0425167313,0345337662,0375707972,0440215625,0316569321
86,0345351525,0345313860,034538475X,0345337662,0345384466,0451160525,0441569595,0553579983,0553582127,042518630X,0671693816,0385336179,0425145638,0060938455,067102423X,0440215625,0312924585,055356773X,080410753X,0316769487,0439136350
87,0345353145,0345402871,0345370775,0446603589,080411868X,042513525X,0345380371,0425109720,0425107469,0345417623,0553582127,0345378482,0345384350,0425122123,006101351X,034540288X,0451167317,0425124347,0425145638,0812550706,042510107X
88,0345361792,0375726403,0553279378,1559029838,0553277472,0679745203,0060987529,0385722206,0060391626,0060934417,0449212602,0316096199,1400031354,1573229326,0441003257,0671867172,0446611867,1400031362,0449005615,014029628X,0060987103
89,0345369947,0345384466,055357230X,0440215625,0060976845,0070212570,055356773X,055321313X,0345384350,0743225406,0375703055,0871136791,0345370775,0060502258,034538475X,0060928336,0385722206,0553579983,0312305060,0452260116,0385474016
90,0345370775,0345380371,0345353145,0425147622,0345402871,034540288X,0440206154,0345391055,0385479565,0312924585,0440214041,0425154092,0385474016,0440234743,0446611212,0380710218,014023313X,0446605484,0440221471,0425147584,0553275976
91,0345370805,080411109X,0446394521,140003065X,0385720106,038079487X,0385505833,0804108749,0440498058,0312966091,0375702709,0312291639,0553273914,068484267X,0804114986,0553213148,0553272535,0425180638,0312195516,0743237188,0425122123
92,0345378482,0671537458,0679744398,0451197747,080411109X,0553571818,034540288X,0743225406,0515121843,0345353145,0553578693,0425147363,055356773X,0385479565,0373218036,0679735909,0064400557,006101351X,0441569595,0452264464,0446602620
93,0345378490,0425107469,0671042858,0446607657,044021145X,0425122123,0425133540,0064400557,0425182878,0380710218,0671867172,0553578693,0385505833,0425155404,0440213525,0425147584,0553569058,0671027387,0451153553,0385479565,0345370775
94,0345380371,0425145638,0345370775,0446359866,0553275976,0345348036,0345353145,0060392452,0446603589,0671004107,0425083837,0345404114,080410753X,0671867172,0440206154,0345402871,0312980140,1559029838,0446394521,015100692X,0385479565
95,034538184X,0671867091,0380718332,0380710218,0553272535,0671004565,0449219461,0345413865,0671568175,0671004573,0671867156,0440214041,055357230X,0380717018,0446609404,0425121631,0671886665,0446359866,0671673688,0440224764,0451181379
96,0345384350,0425107469,0451177096,0425124347,042513525X,0451181379,0425115801,0671024248,0671867172,0671673688,0345386108,0451153553,0451176464,0425145638,0451160525,0671867156,0553580221,0451156609,0671004565,0446609404,0451186362
97,0345384466,034538475X,0345313860,0345337662,0345351525,0380002930,0451156609,0451153553,0316780375,0345369947,0440203856,0452264464,0671510053,0440176484,0441569595,0553277472,0425122123,0452260116,0440214041,0373218192,0440201926
98,034538475X,0345313860,0345351525,0345384466,0345337662,0553579983,0553289411,0553277472,0451160525,0439139597,0451524934,0804105820,0441569595,0439136350,0440200989,0345339703,0439064864,0425145638,067102423X,0140067477,0804114986
99,0345386108,074343627X,0671014919,0671867172,0671004573,0553579754,042513525X,0425180638,0671537458,067102423X,0553580191,0743460529,0671568175,0553580221,0671673688,0553578693,0553582135,0671004565,0553581554,0671004549,0425107469
100,0345387651,0679745203,0786868716,0060977493,0345439104,0553250531,014029628X,0425162443,0452260116,0316666343,038079487X,0375703861,0449134482,0316899984,0553250426,0440236703,0060928336,0425167313,0452282152,0345350499,0316601950
101,0345391055,0425182878,0345370775,0440241073,034540288X,0440225701,0743436210,0440221471,0446604666,0446607711,0671537458,0345386108,0425180638,0425147622,0671042262,0446608815,0446603589,0449003787,044023722X,0345417623,0553582135
102,0345402871,0345353145,0345370775,0446359866,0446603589,0743436210,0425122123,0425107469,0425121631,042510107X,0345384350,0446604666,014100018X,0425109720,0671867172,042513525X,0312924585,0449221504,0425145638,0425144429,080411868X
103,034540288X,0345370775,0553273914,0671042262,055356451X,0345391055,0385474016,0671537458,0743460529,067102423X,0515120618,0671004549,0425147584,044651862X,0440201926,0446606189,0440193613,0671793489,0743437640,0446612545,0345378482
104,0345404114,074343627X,014023313X,0385474016,055357230X,0553569058,0345380371,0671004565,1559029838,0679772677,0142001430,0385265700,0671021001,0440224675,034538475X,0345361792,0553260111,0446310786,0440498058,0786881852,0440211727
105,0345413350,0316776963,0140092323,0345348036,0440212561,1400031354,0440221595,0385492081,080410753X,038542017X,0440241073,0679772677,0385722206,0842329242,015100692X,0316666343,080411109X,0375760911,0156027321,0425121631,0553580191
106,0345413865,0671011367,034538184X,0425163407,0425175405,0553279912,0312924585,0553278029,0553279556,0425158616,0449221512,0743418131,0451176464,0553271636,0425172546,0449219461,0553572997,0425147622,0440213290,0425169863,0380718340
107,0345413873,0449003787,0425180638,0440213290,0440234743,0425182878,0345413903,0553280368,0671011367,0425163407,0553280341,0446604801,0440236673,0449221490,0440241073,0425182908,0446608815,0446609404,0553582135,0449221504,0553579983
108,034541389X,0345413903,0743418204,0812550706,074343627X,055357230X,0446612790,0446603589,0446605484,0449212602,0805063897,0441003257,0671042858,0446602620,0142001430,0316284955,0449005615,0060987529,0553582127,0440498058,0553583441
109,0345413903,034541389X,0345413873,0449003795,0446605484,0425182908,0553274295,0446608890,0743418204,0425180638,0553579754,0553280368,0425121631,0449221504,0671617028,0743418174,0446610100,0446612790,0425169863,0425182878,0440414806
110,0345417623,0425182878,0553579754,0553268880,0451156609,0345353145,0515120618,0440193613,0446364193,0345391055,0345386108,0425147363,0446604666,080410753X,0440241073,042513525X,0671042262,0446363251,0451172817,0515127833,0446603589
111,0345422317,0446607711,0679772677,0440224594,0446360589,1573229326,0380789019,0064400557,074343627X,0441569595,067976402X,0312974256,0446611867,0767900383,0446612790,0446609404,0553564528,0312971125,0064407675,006016848X,0380002930
112,0345427637,0060391626,0385479565,0446602620,0312282990,0553572997,0743225406,0553278029,0142000205,0440241073,0375726403,0312980159,0452282829,0385504209,0671004549,0060977493,0345353145,067976402X,0553275976,0449223612,0446364800
113,0345438329,0786867647,0375502238,0345445848,0375726403,014023313X,0446675059,0060987529,0553278029,1400031354,0140293248,0553275976,0609804138,051511992X,0316666343,0385265700,0425162443,038550120X,0385492081,0375706771,0312966970
114,0345439104,0375727345,0380730138,0452282829,0142000205,0060987561,0316601950,038079487X,0316666343,0425162443,0345445848,0316899984,0451197747,0375706771,0142001430,0345387651,0060930535,0140244824,0446609404,0385720106,0743237188
115,0345443284,0140244824,0671038184,067976402X,0452282829,0316899984,0451202341,0380730138,037570504X,0345445848,0671042572,0345439104,014028009X,0316666343,0375707972,0553250531,0375727345,0385484518,0380718340,038079487X,0452260116
116,0345445848,1400034779,0345438329,0446675059,0671042572,0385336179,0451202341,155874262X,0345439104,014025448X,0385720106,0140293248,1400031354,0375727345,0312966806,0440221471,1400031362,0385335881,0345443284,1558745157,0375760911
117,0345447840,0446675059,0446672211,044023722X,0684848783,0743237188,0446610399,014029628X,0060987561,0688177751,0312974256,0804108749,0452282829,0671011367,1559029838,0553279378,0425092917,0425182878,0743418174,0440236673,0446532231
118,0345465083,080411109X,0743437640,0679751521,068484477X,0375706771,067101420X,0515130966,042511774X,055356160X,0671525743,0671001795,0446675059,0804106304,0553582755,0451172817,0375703055,0425189031,0375700757,0451203895,0609804138
119,0373218036,0373218400,0373483503,0373218397,0373218192,051512608X,0515126772,042518630X,0312974256,0425189031,0515136530,0440201926,0373484224,051513287X,0671525743,0440176484,0425147363,0440200563,0515136379,0515127833,0385508042
120,0373218192,0373218400,0373218036,0373218397,0440201926,051512608X,0515126772,0425189031,0440200563,0440176484,0553582135,042518630X,0515136379,0373483694,051513628X,0373483503,0373484224,0515128546,051513287X,0440203856,0515128554
121,0373218397,0373218400,051512608X,0373218036,0373218192,0373483503,051513287X,042518630X,0515126772,0425189031,0515136379,0515128554,0373484003,0515132020,0440201926,0373484224,0515130389,0515128546,0440176484,0671014919,051513628X
122,0373218400,0373218036,0373218397,0373218192,051512608X,051513287X,0515132020,0373483503,0440201926,0515131229,042518630X,0515132187,0440176484,0515136379,0373484003,0515136530,0373483694,0515126772,0373484224,0425189031,0440200563
123,0373483503,0425189031,0373484224,0515126772,0515128554,042518630X,0373218036,0515132020,0671525743,0373484003,051512608X,0425178579,051513287X,0515131229,0373218397,0515128546,0515127833,0312974256,0515130966,0515136530,0515120618
124,0373483694,0373484224,051513287X,0373484003,0515121843,0425189031,0515131229,0373483503,0515128554,0515128546,0515124214,0373218192,051512317X,0373218400,0515126772,0440201926,0373218397,051512608X,0515132020,0515130966,051513628X
125,0373484003,0373483503,0515128554,0373484224,051512608X,0373483694,0515128546,0515131229,0373218397,0515132020,0515126772,0373218400,0515136379,051513628X,0515121843,042518630X,0515130389,0553282476,0425189031,051513287X,0373218036
126,0373484224,0515128546,0373483503,051512317X,0515128554,0373483694,0515133973,051513287X,0515126772,0515131229,0425189031,0515121843,0373484003,0515124214,051512608X,0440201926,0425178579,0515132020,051513628X,0373218036,042518630X
127,0373825013,0446610542,0440235162,0312983824,0425158632,0425133540,0553571885,031298328X,0553579606,0385503822,0553582135,0743418174,0446364800,051511992X,055357230X,0440220602,0312265867,0385335482,0425115801,0439064872,0743418204
128,0374199698,0684874350,0385474016,0060391626,0312282990,0553277472,0385504209,0553280341,0440201926,0743225406,0449005615,0679744398,0767900383,0671510053,0440224624,0440998050,0449223612,0440122090,0553278029,0446603589,0446602620
